Code,Country,NUTS level 1,NUTS level 2
UKK1,United Kingdom,South West (England),"Gloucestershire, Wiltshire and Bristol/Bath area"
UKK2,United Kingdom,South West (England),Dorset and Somerset
UKK3,United Kingdom,South West (England),Cornwall and Isles of Scilly
UKK4,United Kingdom,South West (England),Devon
UKL,United Kingdom,Wales,
UKL1,United Kingdom,Wales,West Wales and The Valleys
UKL2,United Kingdom,Wales,East Wales
UKM,United Kingdom,Scotland,
UKM5,United Kingdom,Scotland,North Eastern Scotland
UKM6,United Kingdom,Scotland,Highlands and Islands
UKM7,United Kingdom,Scotland,Eastern Scotland
UKM8,United Kingdom,Scotland,West Central Scotland
UKM9,United Kingdom,Scotland,Southern Scotland
UKN,United Kingdom,Northern Ireland,
UKN0,United Kingdom,Northern Ireland,
